[20260618_211515] Version=3.0.4 | 安装包: 日语学习系统_3.0.4_Setup.exe | ZIP: JapStudySystemV3.0.4.zip
[20260618_211804] Version=3.0.5 | 安装包: 日语学习系统_3.0.5_Setup.exe | ZIP: JapStudySystemV3.0.5.zip
[20260618_212319] Version=3.0.5 | 安装包: 日语学习系统_3.0.5_Setup.exe | ZIP: JapStudySystemV3.0.5_20260618_212319.zip
[20260618_212402] Version=3.0.5 | 安装包: 日语学习系统_3.0.5_Setup.exe | ZIP: JapStudySystemV3.0.5.zip
[20260618_213712] Version=3.0.5 | 安装包: 日语学习系统_3.0.5_Setup.exe | ZIP: JapStudySystemV3.0.5.zip
[20260618_213859] Version=3.0.5 | 安装包: 日语学习系统_3.0.5_Setup.exe | ZIP: JapStudySystemV3.0.5_20260618_213859.zip
[20260621_140946] Version=3.1.1 | 安装包: 日语学习系统_3.1.1_Setup.exe | ZIP: JapStudySystemV3.1.1.zip
[20260708_201853] Version=3.2.0 | 安装包: 日语学习系统_3.2.0_Setup.exe | ZIP: JapStudySystemV3.2.0.zip
[20260709_194618] Version=3.3.2 | 安装包: 日语学习系统_3.3.2_Setup.exe | ZIP: JapStudySystemV3.3.2.zip
[20260711_165659] Version=3.4.0 | 安装包: 日语学习系统_3.4.0_Setup.exe | ZIP: JapStudySystemV3.4.0.zip
[20260713_204858] Version=3.5.0 | 安装包: 日语学习系统_3.5.0_Setup.exe | ZIP: JapStudySystemV3.5.0.zip
